Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts, Sales,COGS,Profit,Date,Month Number,Month Name,Year
Government,Germany,Carretera,None,1513,$3,$350.,"$529,550.",0,"$529,550.","$393,380.","$136,170.",1/12/14,12,December,2014
Government,Germany,Paseo,None,1006,$10,$350.,"$352,100.",0,"$352,100.","$261,560.","$90,540.",1/6/14,6,June,2014
Government,Canada,Paseo,None,1725,$10,$350.,"$603,750.",0,"$603,750.","$448,500.","$155,250.",1/11/13,11,November,2013
Government,Germany,Paseo,None,1513,$10,$350.,"$529,550.",0,"$529,550.","$393,380.","$136,170.",1/12/14,12,December,2014
Government,Germany,Velo,None,1006,$120,$350.,"$352,100.",0,"$352,100.","$261,560.","$90,540.",1/6/14,6,June,2014
Government,France,VTT,None,1527,$250,$350.,"$534,450.",0,"$534,450.","$397,020.","$137,430.",1/9/13,9,September,2013
Government,France,Amarilla,None,2750,$260,$350.,"$962,500.",0,"$962,500.","$715,000.","$247,500.",1/2/14,2,February,2014
Government,Mexico,Carretera,Low,1210,$3,$350.,"$423,500.",4235,"$419,265.","$314,600.","$104,665.",1/3/14,3,March,2014
Government,Mexico,Carretera,Low,1397,$3,$350.,"$488,950.",4889.5,"$484,060.5","$363,220.","$120,840.5",1/10/14,10,October,2014
Government,France,Carretera,Low,2155,$3,$350.,"$754,250.",7542.5,"$746,707.5","$560,300.","$186,407.5",1/12/14,12,December,2014
Government,France,Paseo,Low,2155,$10,$350.,"$754,250.",7542.5,"$746,707.5","$560,300.","$186,407.5",1/12/14,12,December,2014
Government,Canada,VTT,Low,943.5,$250,$350.,"$330,225.",3302.25,"$326,922.75","$245,310.","$81,612.75",1/4/14,4,April,2014
Government,Mexico,VTT,Low,1397,$250,$350.,"$488,950.",4889.5,"$484,060.5","$363,220.","$120,840.5",1/10/14,10,October,2014
Government,Canada,Carretera,Low,2852,$3,$350.,"$998,200.",19964,"$978,236.","$741,520.","$236,716.",1/12/14,12,December,2014
Government,Canada,Paseo,Low,2852,$10,$350.,"$998,200.",19964,"$978,236.","$741,520.","$236,716.",1/12/14,12,December,2014
